"{{-0.4597904804971464, 1.0119340846919451}, {-0.4514112494224614, 1.0724631030864908}, {-0.44856340971517994, 1.0554938903024988}}","{-0.9480229944451108, -0.1871858657992068, 0.2573205270636734}"
"{{-0.456926332108726, 0.9950795617359579}, {-0.4175744212139416, 0.9462070665448217}, {-0.42036325571156186, 0.9629685002676561}}","{-0.8028455549084721, -0.5373375761198436, 0.25827764954281124}"
"{{-0.42036325571156186, 0.9629685002676561}, {-0.4597904804971464, 1.0119340846919451}, {-0.456926332108726, 0.9950795617359579}}","{-0.8028479365622514, -0.5373421124490293, 0.25826080799561896}"
"{{-0.4175744212139416, 0.9462070665448217}, {-0.33728010498142874, 0.9134944309973146}, {-0.3399160956817845, 0.9301933763370519}}","{-0.5373400631971457, -0.8028492708945583, 0.2582609236941655}"
"{{-0.3399160956817845, 0.9301933763370519}, {-0.42036325571156186, 0.9629685002676561}, {-0.4175744212139416, 0.9462070665448217}}","{-0.537339590185333, -0.802844168024187, 0.25827777041203015}"
"{{-0.33728010498142874, 0.9134944309973146}, {-0.22281581136178874, 0.9015596813616626}, {-0.22523462734727884, 0.9182357393788769}}","{-0.18719167305818388, -0.9480352474237072, 0.25727115497068087}"
"{{-0.22523462734727884, 0.9182357393788769}, {-0.3399160956817845, 0.9301933763370519}, {-0.33728010498142874, 0.9134944309973146}}","{-0.18719382938215728, -0.9480278812744719, 0.25729672863734504}"
"{{-0.4514112494224614, 1.0724631030864908}, {-0.4597904804971464, 1.0119340846919451}, {-0.4674951960629281, 1.0163882058552924}}","{-0.7196309799865762, -0.14209016957817905, -0.6796628843425276}"
"{{-0.4674951960629281, 1.0163882058552924}, {-0.4589326274780409, 1.078242063665344}, {-0.4514112494224614, 1.0724631030864908}}","{-0.7196267371037597, -0.14208970626423195, -0.6796674735627273}"
"{{-0.4597904804971464, 1.0119340846919451}, {-0.42036325571156186, 0.9629685002676561}, {-0.4272054383922027, 0.9663509839834822}}","{-0.6084584480755357, -0.40723819908705106, -0.6811280101198642}"
"{{-0.4272054383922027, 0.9663509839834822}, {-0.4674951960629281, 1.0163882058552924}, {-0.4597904804971464, 1.0119340846919451}}","{-0.6084758096329365, -0.40724767516228083, -0.6811068346202815}"
"{{-0.42036325571156186, 0.9629685002676561}, {-0.3399160956817845, 0.9301933763370519}, {-0.34499755610183885, 0.9328587355881889}}","{-0.4072585504899663, -0.6084888552992723, -0.6810886770673792}"
"{{-0.34499755610183885, 0.9328587355881889}, {-0.4272054383922027, 0.9663509839834822}, {-0.42036325571156186, 0.9629685002676561}}","{-0.40724611677121786, -0.6084734812138398, -0.6811098465257086}"
"{{-0.3399160956817845, 0.9301933763370519}, {-0.22523462734727884, 0.9182357393788769}, {-0.2278048523358396, 0.9206397981627638}}","{-0.1421177242772604, -0.7197436234025936, -0.679537834868345}"
