"{-0.35491339895042684, 2.047543112832871}","{-0.4647867444461962, 2.1210800543555783}","{-0.426742530008767, 2.0014080483369097}"
"{-0.25979183050928245, 1.5221592669383475}","{-0.30974178403755875, 1.5967904721050499}","{-0.31397963823663155, 1.5684275605590983}"
"{-0.24153350739243423, 1.5669700007007046}","{-0.29818030044997423, 1.6516065939355533}","{-0.30974178403755875, 1.5967904721050499}"
"{-0.781212591631533, 2.256767398963512}","{-0.6475011715724324, 2.2831684498579135}","{-0.7036288779845958, 2.440712670509067}"
"{-0.8893736154603854, 2.18437595860525}","{-0.781212591631533, 2.256767398963512}","{-0.8330860371005917, 2.415150712907984}"
"{-1.1550839905555785, 1.897421352814719}","{-1.1751141511713459, 1.9083471563014476}","{-1.1072801433917285, 1.813999008901424}"
"{-1.1072801433917285, 1.813999008901424}","{-1.0987197726157747, 1.8180822719364658}","{-1.1550839905555785, 1.897421352814719}"
"{-0.9226955197748076, 1.5601825916581138}","{-0.9188229529759948, 1.5784281486353173}","{-1.0241722872052024, 1.657670351529719}"
"{-1.0242409893850641, 1.636995367030727}","{-1.0241722872052024, 1.657670351529719}","{-1.1194908770208394, 1.7521726941407347}"
"{-0.22489923383675445, 1.631790290390621}","{-0.2892603505162178, 1.7279540528989263}","{-0.29818030044997423, 1.6516065939355533}"
"{-1.0246252951992354, 1.7144057226863023}","{-1.0245518474281097, 1.7352616085531434}","{-0.9403137159963061, 1.660785296449784}"
"{-0.9444548921705698, 1.6424372948236534}","{-0.9403137159963061, 1.660785296449784}","{-0.8506371769814279, 1.602828492184024}"
"{-1.1951443117871137, 1.897421352814719}","{-1.2042492127706357, 1.8646439423545325}","{-1.1194908770208394, 1.7521726941407347}"
"{-1.1951443117871137, 1.897421352814719}","{-1.1751141511713459, 1.9083471563014476}","{-1.2043763146101893, 1.9832705281049026}"
"{-0.426742530008767, 2.0014080483369097}","{-0.3177072256183375, 1.9284316966701693}","{-0.35491339895042684, 2.047543112832871}"
"{-0.9049537892012661, 1.68460419171638}","{-0.8783387977681802, 1.8193963922797398}","{-0.9198516483103973, 1.937669767337102}"
"{-1.0947825690630235, 1.7932140298077004}","{-1.0987197726157747, 1.8180822719364658}","{-1.0245518474281097, 1.7352616085531434}"
"{-1.0241722872052024, 1.657670351529719}","{-1.0242409893850641, 1.636995367030727}","{-0.9226955197748076, 1.5601825916581138}"
"{-0.9403137159963061, 1.660785296449784}","{-0.9444548921705698, 1.6424372948236534}","{-1.0246252951992354, 1.7144057226863023}"
"{-0.8118992917103383, 1.4968305037509448}","{-0.8034461854895729, 1.5123692903333135}","{-0.9188229529759948, 1.5784281486353173}"
"{-0.7036288779845958, 2.440712670509067}","{-0.8330860371005917, 2.415150712907984}","{-0.781212591631533, 2.256767398963512}"
"{-1.2042492127706357, 1.8646439423545325}","{-1.1951443117871137, 1.897421352814719}","{-1.2348605764334457, 1.9897652306752218}"
"{-1.2043763146101893, 1.9832705281049026}","{-1.2348605764334457, 1.9897652306752218}","{-1.1951443117871137, 1.897421352814719}"
"{-1.1157052526688305, 1.7275498780067846}","{-1.1194908770208394, 1.7521726941407347}","{-1.2042492127706357, 1.8646439423545325}"
"{-1.1194908770208394, 1.7521726941407347}","{-1.1157052526688305, 1.7275498780067846}","{-1.0242409893850641, 1.636995367030727}"
"{-1.0245518474281097, 1.7352616085531434}","{-1.0246252951992354, 1.7144057226863023}","{-1.0947825690630235, 1.7932140298077004}"
"{-0.8506371769814279, 1.602828492184024}","{-0.8598094000977538, 1.5873404309496992}","{-0.9444548921705698, 1.6424372948236534}"
"{-1.1751141511713459, 1.9083471563014476}","{-1.1550839905555785, 1.897421352814719}","{-1.1744323765440994, 1.9543821363064546}"
"{-0.9188229529759948, 1.5784281486353173}","{-0.9226955197748076, 1.5601825916581138}","{-0.8118992917103383, 1.4968305037509448}"
"{-0.8783387977681802, 1.8193963922797398}","{-0.9049537892012661, 1.68460419171638}","{-0.8598094000977538, 1.5873404309496992}"
"{-0.8893736154603854, 2.18437595860525}","{-0.9617650558186479, 2.0762149347763974}","{-0.9198516483103973, 1.937669767337102}"
"{-1.1744323765440994, 1.9543821363064546}","{-1.2043763146101893, 1.9832705281049026}","{-1.1751141511713459, 1.9083471563014476}"
