"{-0.22281581136178874, 0.9015596813616626}","{-0.09562756219859404, 0.9134823483701755}","{-0.09780390888192418, 0.930181270727712}"
"{-0.09780390888192418, 0.930181270727712}","{-0.22523462734727884, 0.9182357393788769}","{-0.22281581136178874, 0.9015596813616626}"
"{-0.09562756219859404, 0.9134823483701755}","{0.019555019233988554, 0.9461852100727993}","{0.017597267017762295, 0.9629466022415197}"
"{0.017597267017762295, 0.9629466022415197}","{-0.09780390888192418, 0.930181270727712}","{-0.09562756219859404, 0.9134823483701755}"
"{0.019555019233988554, 0.9461852100727993}","{0.11103410283946495, 0.9950511637142104}","{0.10925095303163398, 1.011905632620269}"
"{0.10925095303163398, 1.011905632620269}","{0.017597267017762295, 0.9629466022415197}","{0.019555019233988554, 0.9461852100727993}"
"{0.11103410283946495, 0.9950511637142104}","{0.16711185852134147, 1.0554631065390871}","{0.16543473345648196, 1.0724322607873469}"
"{0.16543473345648196, 1.0724322607873469}","{0.10925095303163398, 1.011905632620269}","{0.11103410283946495, 0.9950511637142104}"
"{-0.22523462734727884, 0.9182357393788769}","{-0.09780390888192418, 0.930181270727712}","{-0.09758521297853691, 0.9328463649710326}"
"{-0.09758521297853691, 0.9328463649710326}","{-0.2278048523358396, 0.9206397981627638}","{-0.22523462734727884, 0.9182357393788769}"
"{-0.09780390888192418, 0.930181270727712}","{0.017597267017762295, 0.9629466022415197}","{0.020342397320337456, 0.9663286065916965}"
"{0.020342397320337456, 0.9663286065916965}","{-0.09758521297853691, 0.9328463649710326}","{-0.09780390888192418, 0.930181270727712}"
"{0.017597267017762295, 0.9629466022415197}","{0.10925095303163398, 1.011905632620269}","{0.11400161968152642, 1.0163591310145053}"
"{0.11400161968152642, 1.0163591310145053}","{0.020342397320337456, 0.9663286065916965}","{0.017597267017762295, 0.9629466022415197}"
"{0.10925095303163398, 1.011905632620269}","{0.16543473345648196, 1.0724322607873469}","{0.17141519673380198, 1.0782105462741334}"
"{0.17141519673380198, 1.0782105462741334}","{0.11400161968152642, 1.0163591310145053}","{0.10925095303163398, 1.011905632620269}"
"{-0.2278048523358396, 0.9206397981627638}","{-0.09758521297853691, 0.9328463649710326}","{-0.09555315454439031, 0.923097241622452}"
"{-0.09555315454439031, 0.923097241622452}","{-0.22933004936967505, 0.9105568230868842}","{-0.2278048523358396, 0.9206397981627638}"
